L1_Title,Teach.Rank|Q,QuestionText,AnswerRange,Answer|,RightNum,Commentary,TopQ
Risking by Replacing Self,1,[135/test/] [Answer only if officer] I spend the following percent of my time with customers,1-0-5%<> 5-25%+,5,5,"",""
Risking by Investing in Others,2,[134] I challenge my direct reports every day or almost every day,1-TRUE <> 5-FALSE,1,1,"[83,134] Difficult conversations are crucial for CEOs because they are often the only ones who can address the most significant, strategic, and sensitive issues facing the organization. Avoiding these conversations can have serious consequences.

First and foremost, difficult conversations are often necessary to solve problems and make progress. If there are performance issues with a senior leader, conflicts between departments, or tough decisions to be made about resources or direction, these things typically fall to the CEO to address. Ignoring them doesn't make them go away; it usually allows them to grow and fester.

Secondly, avoiding difficult conversations can send the wrong message to your organization. It can signal that certain issues or behaviors are tolerated, or that you're not willing to make tough calls. This can erode trust, respect, and accountability across the company.

Additionally, as the CEO, you set the tone for the rest of the organization. If you're seen to avoid difficult conversations, your leaders are likely to follow suit. This can create a culture of avoidance and denial, rather than one of facing challenges head-on.
 
Of course the frequency of difficult conversations really depends on the situation and needs of your organization at any given time.  This said, in general, effective business leadership requires daily difficult conversations.  If you arent having them with that frequency, you probably arent looking hard enough....or you have mastered the art and are not thinking about them as difficult for you.   If that is so, think about for the other person and how you make your conversations most effective for them.

In sum, the least effective leaders avoid difficult conversation, expressing dissatisfaction indirectly.  Or they see them as not difficult because they are thinking about themselves.   Good leaders have them clearly, quickly, and with empathy.    Please see our Difficult Conversations routines, which will make your difficult conversations easier for all parties, quicker, and rewarding.   This daily (or almost daily) difficult conversations standard is particularly powerful because it: - Makes difficult conversations normal rather than exceptional - Forces you to address issues when they're small - Prevents the accumulation of unaddressed problems - Keeps you honest about whether you're really maintaining your other standards.",""
Risking by Investing in Others,3,[137] My goal is to enable my leaders to reach their full potential,1-TRUE <> 5-FALSE,1,1,"[111,137] We consistently find in our data that the very best leaders - the ones who build extraordinary teams and get remarkable results - share an unwavering belief that people can change and grow far beyond what seems possible.  People want to be great but often need a push to become the best versions of themselves. The best leaders describe in vivid detail who they see in front of them, why they believe in this person’s talents, and what success they expect this individual to achieve. They ask them to aspire to be more, and not to accept the criticism and self-doubt we all experience. Leaders show people the stars and ask them to dream even higher.  Who on your team needs higher aspirations and loftier goals? What are you waiting for? Be the leader they need you to be.",""
Not Pleasing,4,[131] My leadership is admired because:,1-I require respect<>5-I require excellence,5,5,"",""
Risking by Replacing Self,5,[138/test/] Each of my direct reports is fully capable of doing their job without supervision or guidance,1-TRUE <> 5-FALSE,1,1,"",""
Organizational Decision Making,6,[68] Growth odds: I would rather have:,1-80% odds of 25% growth <> 5-50% odds of 50% growth,5,5,"[68] The math here is clear: 50% chance of 50% growth yields an expected value of 25%. An 80% chance of 25% growth yields an expected value of 20%. The higher risk option actually creates 25% more value. Yet many leaders choose the ""safer"" option, revealing how emotion and comfort often trump mathematical reality.

This question tests a fundamental leadership principle: the ability to make decisions based on actual expected value rather than perceived safety. The best leaders understand that what feels safer isn't always better. They do the math, face the numbers, and choose based on reality rather than comfort.

When leaders view decisions as bets on the future, they're forced to examine their real probabilities and payoffs, not just their hopes or fears. This means asking tough questions: What are the true odds? What's the real upside? What am I actually risking? What's driving my choice - math or emotion?

The irony is that many ""conservative"" decisions actually destroy value because leaders haven't calculated the true expected return. They choose what feels safe over what creates value. They prefer certainty over opportunity. They optimize for comfort rather than results.

The best leaders make these calculations explicit. They write down the odds. They multiply the probabilities. They face the mathematical truth. Most importantly, they choose based on expected value, not emotional comfort.

Remember: In leadership, the comfortable choice is often the wrong choice. Do the math.",Pval
Risking by Investing in Others,7,[50] There has been virtually zero voluntary attrition on my team in the last year. My team members turn down higher offers from other companies.,1-TRUE <> 5-FALSE,1,1,"[50]  When your best people consistently turn down higher offers to stay with your team, you've created something remarkable. This isn't just about retention - it's about building an environment where leaving feels like a step backward, regardless of the compensation offered elsewhere.

The best leaders create conditions that money can't buy. They invest so heavily in their people's growth and development that external opportunities, even with significantly higher pay, feel like a compromise. These leaders understand that what keeps top talent isn't comfort or compensation - it's the unmatched opportunity to grow, learn, and achieve.

Think about what this requires:

You must create opportunities that people can't get anywhere else. You must challenge your best performers in ways that make them better every day. You must invest in their development so consistently that they know staying with you means growing faster than they could elsewhere. You must build relationships so meaningful that leaving feels like walking away from real value.

When your team members turn down higher offers, it's not because they're comfortable - it's because they're growing. It's not because they're settled - it's because they're stretched. It's not because they're afraid to leave - it's because they can't find a better place to become who they want to be.

Remember: Your goal isn't to match what others offer. It's to create conditions so compelling that external offers, regardless of size, represent a step down in opportunity, growth, and impact.",Pval
Risking by Facilitative Mindset,8,[102] I encourage and foster consistent disagreement in my meetings,1-TRUE <> 5-FALSE,1,1,"[14] Disagreement helps leaders to clarify their thinking and challenges them to examine the assumptions underlying their opinions, conclusions, and decisions.  Without those around them willing to state their honest views when they disagree, leaders operate in a vacuum of false consensus that robs them of the counterarguments and perspectives needed for making quality decisions. 

Good leaders encourage those around them to disagree, candidly offering an opposing view whenever they have one. They explicitly tell colleagues they want their disagreement, and they do their best to embolden them by tempering their reactions to any opposing viewpoints. Asking them to expound on their thinking before debating the merits demonstrates the leader’s desire to consider all views. 

Great leaders go one step further. They intentionally reward people who disagree, thereby promoting a climate of open and honest debate. While asking for and even seeking disagreement encourages team members to step up and offer a contrary view when they have one, the real reward occurs when leaders incorporate the counterarguments into their thinking. Telling team members that what they have said and the points they offered have made an impact on how the leader now views the issue is the highest prize. Leaders who let team members know that because of their disagreement, they have changed their opinions, reconsidered their views, shifted their perspective, or altered their decision showcase the inherent value of a contrary view.  

When team members are shown that their contributions have positively influenced the leader, they begin to see honest disagreement in a different light. Learning that they can have an impact on both the process and outcome, team members who openly disagree experience the value they provide by being candid.  Great leaders light a perpetual fire when they go out of their way to describe this kind of influence. Not surprisingly, such a reward promotes more disagreement and candidness. To the delight of an exceptional leader, once team members are rewarded for disagreeing, they rarely stop.  Just as agreement is the foundation of consensus, disagreement is the cornerstone of quality decision-making. Without it, leaders are defenseless against their own opinions. [Admired Leadership Field Notes 8/28/24]+AB25",""
Organizational Decision Making,9,"[120] When a team member can't surrender their distaste for the leader and organization, they must be removed quickly. Waiting and hoping for the best is how good teams turn sour.",1-TRUE <> 5-FALSE,1,1,"[120] When productive and committed team members are thrust into situations and environments with disgruntled colleagues, they are highly likely to be influenced negatively by them. Research over decades has confirmed that good apples placed in a bad barrel will turn sour.   It’s not that team members are too easily influenced by the gripes and grievances of colleagues who have become embittered.  Rather, their positive qualities of fairness, empathy, objectivity and compassion encourage them to listen more attentively than perhaps they should. After a continual deluge of complaints and protests, even the most dedicated team members will come to adopt some or all of the criticisms the negative colleagues hold.  This is why it is so important for leaders to quickly address those team members who are bitter and see the organization as a bad or ineffective place to work. Leaders who ignore those who feel disenfranchised or invalidated are likely to find productive team members with an increasingly jaded view of the organization. Peers have an instinctual desire to defend and support their peers. Allowing those who openly slander the leader and team to operate without constraint is a recipe for a growing barrel of discontent.  

Good leaders move swiftly to turn a negative team member into a positive force or remove them from the playing field. While they can inoculate positive team members to the issues and people involved by warning them of the unfounded complaints, this can further exacerbate the situation. Negative team members point to this attempt to negate them as further evidence of why the team and leader stink.  

More than 50 years ago, Stanford professor Philip Zimbardo proved in a series of controversial experiments that people are likely to conform to the social influence of peers even when their viewpoints go against their personal experience. Team members are even more susceptible to criticisms about the organization when a group of peers paints a negative picture of the leader and organization. 

Leaders don’t need to worry about the everyday criticisms, complaints and negative feedback that are normal within a team. There are no perfect organizations, and learning how to make the team better depends on critical feedback from the group.  But when one or more team members go negative and lodge complaints and criticisms to negatively influence others, leaders must act swiftly to curtail the virus that is likely to spread. They do this by confronting the bad apple and working through the reasons why this team member has abandoned their positive views. In many cases, simply hearing the team member out and addressing their concerns stops the potential rot. When a team member can’t surrender their distaste for the leader and organization, they must be removed quickly from the barrel. Waiting and hoping for the best is how good teams turn sour. [Admired Leadership Field Notes 8/10/24]",CohD
Risking by Investing in Others,10,[115] A person is successful if they have,"1=followed their own interests and talents to become the best they can be at what they care about. <> 5=a high-profile career, are well-known, and have achieved wealth.",1,1,"[115] When team members commit to the success of being the best at what they care most about, they are liberated from the unhealthy and singular pursuit of profile, wealth, and status. The end result is team members with a growth mindset and a fixation on achieving excellence. Good leaders don’t leave the possibility of weak thinking to chance. They shape meaning by emphasizing the qualities underlying success and driving a narrative that people are empowered to define success in more realistic and personal terms. 

The best leaders actively work to shape how their people define success. They emphasize personal growth, impact, and excellence in what matters to each individual. They help people resist society's pull toward external markers of success and instead focus on becoming their best selves.",CohD
